komentar,hasil_translate,label
"Fitur Terbaik: jangangan beli disini teman teman tidak amanah sdh ajukan pengembalian pun masih tertolak Sepadan dengan Harga: mahal bobrokkkk tidak berguna  Barang rongsokkan gais buat kalian ya jangangan beli ditoko ini tidak amanah barang tidak bisa nyala speaker tidak bisa masuk suara, ini barang tiject tusak bobrok yang dikirimkan gini ini mubazir ga bisa dipakai,! penipu ini tidak barokah lu jualan tidak tanggung jawab gua sumpahin pada kena karma yang setimpal deh","Best Features: Jangangan buy here friends who are not trustworthy already submitting returns are still rejected commensurate with the price: expensive bobrokkkk useless items for gais for you, yes, the buying is not trustworthyThe dilapidated dilapidated gini can not be used,!This con artist is not barokah you sell, I don't take responsibility for me to be hit by a karma that is worth it",Positif
"Fitur Terbaik: produk pecah bagian baut dalam sehingga speaker lepas, lain kali mengirim produk bautnya diperkuat,  Karena rusak muntidakin saat pengiriman speaker part yang bermagnet lepas dan masih bisa diperbaiki hanya saja akan ada biaya tambahan solder dan timah, dan lem bakar,","Best Features: Bolt Bolt Bolt Products So that the speaker is loose, next time sending the bolt product is strengthened, because it is damaged Muntidakin when sending the Speaker Parts that are of loose magnetic and can still be repaired only there will be additional costs for solder and tin, and grilled glue,",Positif
"Fitur Terbaik: kurang Sepadan dengan Harga: normal  Spikernya tidak mau kehubung dengan bluetooth hp sudah beberapa hp dicoba tetap tidak bisa berarti yang bermasalah dngan bluetooth nya, lain kali kalau dikirim mauhon dicek lebih teliti lagi","Best Features: Less equivalent to Price: Normal spiker does not want to be a liaison with Bluetooth HP has been tried several cellphones still cannot mean that the problem is with the Bluetooth, next time if sent mauhon checked more thoroughly",Positif
Fitur Terbaik: cocok untuk anak karaokean tapi kalau untuk orang tua masih atidak keter suaranya Sepadan dengan Harga: dengan harga segitu lumayan lah  Kalau untuk suara ya lumayan keras untuk mutar musik ya,Best Features: Suitable for Karaokean Children But for Parents still not commensurate with the price: with that price is pretty good if for the sound is pretty hard to turn music huh,Positif
"Belum ada 1 Minggu speaker nya udah mati total ,,  dicas tidak ada tanda"" lampu indikator, dicas seharian juga tidak nyala speaker nya  padahal pemakaian tidak sering","There is no 1 week the speaker has died completely ,, there is no sign of ""indicator lights, dicated all day also does not turn on the speaker even though the use is not often",Negatif
1 spiker tdk dpt digunakan  Sdh chat penjual tidak ada respon Tulisan tombal kebolak balik  Krg amanah tokonya,"1 Speaker cannot be used, the seller's chat there is no response to the writing of the tombal back and forth to the mandate",Negatif
"Bagus lucu packing juga aman, pengiriman cepat 👍👍👍👍👍👍","Good funny packing is also safe, fast shipping 👍👍👍👍👍ventions",Positif
Pas DTG aku cobak mix nya bisa kedua pake memaury bisa tapi pas aku sambuntidakan ke blutoot eee seret seret patah aku kira belum di cass aku cass lah pas aku cobak lagi ee tidak bisa 🙏😭cobak sebulum di kirim salonnya di cek baik baik miskipun 50 rbu tapi lumyan lah kk bagi kita aku tau sesuai harga 😩,"When I tried mix it, I can use it both, but when I sambuntikakakan to Blutoot, I drag it down, I thought I hadn't been cassing, I was cassing when I tried again, I couldn't 🙏 got to be sent a salon in checking well, even though 50 RBUbut lumyan is kk for us I know according to price 😩",Positif
"Speker blututx ringan kali, trs tombolx kasar, Radiox g bs d gunakan bestie🙏","Lightweight blututx species times, then roughx button, radiox G BS D Use Bestie🙏",Netral
"Sudah nyampe barangnya,,,bagus,,,udh d coba,,,suaranya juga kenceng,,,","It's been a while ,,, good ,,, udh d try ,,, his voice is also strong ,,,",Positif
